,rank
won,-0.8964479078364386
coach_wins,-0.88220443552242
confW,-0.851472976678472
homeW,-0.7970805788764441
awayW,-0.7753169535636651
num_awards,-0.45510108245551467
o_asts,-0.4496228066459108
dRebounds,-0.4059646990855947
o_dreb,-0.3852754134761538
o_fgm,-0.33984537050840813
o_reb,-0.3255125030385239
o_blk,-0.24839234737230997
o_ftm,-0.23056292704809114
d_3pa,-0.22136386036448963
o_stl,-0.19365067535031796
attend,-0.1921511241783021
d_fga,-0.17223512347827113
d_pf,-0.16561865885987678
o_fta,-0.1636060388246914
GS,-0.1507190789420932
GP,-0.142208039027474
o_fga,-0.12801063383405462
minutes,-0.12128134136982048
year,-0.11908669356538162
o_3pm,-0.11724699415769683
oRebounds,-0.09250558764078161
d_to,-0.07087124463005127
d_3pm,-0.05440657966498611
o_oreb,-0.0530032973509511
d_oreb,-0.014060795747005615
dq,0.05588085670470355
o_to,0.0778201274253614
d_dreb,0.08965442279810562
d_fgm,0.09748914380556922
d_stl,0.1175947584036261
o_pf,0.130552536725602
d_ftm,0.1662924253684523
d_asts,0.205235750637578
d_blk,0.26628412082598435
confL,0.8616496175563637
coach_losts,0.8677465266155056
rank,1.0
