 prev_coach_won  prev_coach_lost  prev_coach_post_wins  prev_coach_post_losses  prev_team_won  prev_team_lost  prev_team_o_pts  prev_team_d_pts  prev_team_playoff  prev_coach_win_pct  prev_coach_made_playoffs  coach_tenure  roster_talent_past_score tmID lgID    coachID
           18.0             16.0                   0.0                     2.0             18              16             2747             2657                  1            0.529412                       1.0             3                    2785.0  WAS WNBA adubari99w
            NaN              NaN                   NaN                     NaN             21              13             2537             2404                  1                 NaN                       NaN             1                    1987.0  SAC WNBA bouceje01w
            NaN              NaN                   NaN                     NaN             25               9             2575             2476                  1                 NaN                       NaN             1                    1698.0  LAS WNBA coopemi01w
           11.0             23.0                   0.0                     0.0             11              23             2372             2656                  0            0.323529                       0.0             4                    1731.0  NYL WNBA coylepa99w
           18.0             16.0                   1.0                     2.0             18              16             2644             2575                  1            0.529412                       1.0             5                    2284.0  SEA WNBA donovan99w
           13.0             21.0                   0.0                     0.0             13              21             2523             2603                  0            0.382353                       0.0             3                    1209.0  SAS WNBA hugheda99w
           23.0             11.0                   7.0                     3.0             23              11             2527             2384                  1            0.676471                       1.0             6                    2218.0  DET WNBA laimbbi01w
            NaN              NaN                   NaN                     NaN              5              29             2322             2687                  0                 NaN                       NaN             1                     995.0  CHI WNBA overtbo99w
           26.0              8.0                   3.0                     2.0             26               8             2683             2417                  1            0.764706                       1.0             5                    2241.0  CON WNBA thibami99w
            NaN              NaN                   NaN                     NaN             18              16             2507             2449                  1                 NaN                       NaN             1                    1924.0  HOU WNBA thompka99w
           18.0             16.0                   0.0                     0.0             18              16             2960             2879                  0            0.529412                       0.0             2                    2339.0  PHO WNBA westhpa99w
           21.0             13.0                   0.0                     2.0             21              13             2435             2316                  1            0.617647                       1.0             4                    2298.0  IND WNBA wintebr01w
            NaN              NaN                   NaN                     NaN             10              24             2523             2735                  0                 NaN                       NaN             1                    1774.0  MIN WNBA zierddo99w
