tmID    coachID  prev_coach_won  prev_coach_lost  prev_coach_post_wins  prev_coach_post_losses  prev_team_won  prev_team_lost  prev_team_o_pts  prev_team_d_pts  prev_team_playoff  prev_coach_win_pct  prev_coach_made_playoffs  coach_tenure  roster_talent_past_score
 SEA aglerbr99w             NaN              NaN                   NaN                     NaN           17.0            17.0           2734.0           2647.0                1.0                 NaN                       NaN             1                    1639.0
 SAC bouceje01w            19.0             15.0                   1.0                     2.0           19.0            15.0           2527.0           2480.0                1.0            0.558824                       1.0             2                    2032.0
 LAS coopemi01w            10.0             24.0                   0.0                     0.0           10.0            24.0           2533.0           2708.0                0.0            0.294118                       0.0             2                    1171.0
 NYL coylepa99w            16.0             18.0                   1.0                     2.0           16.0            18.0           2413.0           2501.0                1.0            0.470588                       1.0             5                    2368.0
 IND dunnli99wc             NaN              NaN                   NaN                     NaN           21.0            13.0           2480.0           2370.0                1.0                 NaN                       NaN             1                    1738.0
 PHO gaineco01w             NaN              NaN                   NaN                     NaN           23.0            11.0           3025.0           2904.0                1.0                 NaN                       NaN             1                    2237.0
 SAS hugheda99w            20.0             14.0                   2.0                     3.0           20.0            14.0           2517.0           2484.0                1.0            0.588235                       1.0             4                    1837.0
 CHI  keyst99wc             NaN              NaN                   NaN                     NaN           14.0            20.0           2525.0           2611.0                0.0                 NaN                       NaN             1                    2170.0
 DET laimbbi01w            24.0             10.0                   6.0                     5.0           24.0            10.0           2697.0           2540.0                1.0            0.705882                       1.0             7                    2007.0
 ATL meadoma99w             NaN              NaN                   NaN                     NaN            NaN             NaN              NaN              NaN                NaN                 NaN                       NaN             1                       NaN
 WAS rollitr01w            16.0             14.0                   0.0                     0.0           16.0            18.0           2585.0           2639.0                0.0            0.533333                       0.0             2                    1687.0
 CON thibami99w            18.0             16.0                   1.0                     2.0           18.0            16.0           2675.0           2593.0                1.0            0.529412                       1.0             6                    1084.0
 HOU thompka99w            13.0             21.0                   0.0                     0.0           13.0            21.0           2510.0           2628.0                0.0            0.382353                       0.0             2                    2146.0
 MIN zierddo99w            10.0             24.0                   0.0                     0.0           10.0            24.0           2636.0           2752.0                0.0            0.294118                       0.0             2                    1643.0
