bioID,pos,height,weight,college
abrahta01w,C,74.0,190,George Washington
abrossv01w,F,74.0,169,Connecticut
adairje01w,C,76.0,197,George Washington
adamsda01w,F-C,73.0,239,Texas A&M
adamsjo01w,C,75.0,180,New Mexico
aguilel01w,G,67.0,165,George Washington
ajavoma01w,G,68.0,160,Rutgers
aldrima01w,G,71.0,153,UNC Charlotte
alexaer01w,G,67.0,140,California-Santa Barbara
alhalta01w,F-G,72.0,149,DePaul
allench01w,G,71.0,135,Notre Dame
ambermo01w,F,76.0,169,Arizona State
anderam01w,F,72.0,167,Brigham Young
anderch01w,C,78.0,190,Vanderbilt
anderjo01w,G,68.0,166,Wisconsin
anderke01w,G,67.0,125,Wisconsin
andrame01w,F,71.0,165,Old Dominion
angelyv01w,G,68.0,160,Ohio State
anosini01w,C,75.0,211,Tennessee
appelja01w,C,76.0,210,Stanford
arcaija01w,G,71.0,147,none
artiska01w,F,73.0,155,Northeastern
askamma01w,C,77.0,198,none
atkinla01w,G-F,72.0,172,North Carolina
atunrmo01w,G-F,70.0,143,Texas A&M
augusse01w,F,72.0,179,Louisiana State
aycocan01w,G-F,74.0,172,Kansas
azizle01w,F,75.0,177,Syracuse
azzije01w,G,68.0,143,Stanford
badertr01w,G,64.0,125,Boise State
bakerla01w,G,67.0,140,California
bakersh01w,G,68.0,125,Georgia
balesal01w,C,79.0,218,Duke
banchrh01w,C,75.0,185,Washington
baranel01w,F,77.0,182,Academy of Sport Moscow
barksla01w,G,70.0,156,North Carolina
barnead01w,F,71.0,165,Arizona
barnequ01w,C,77.0,185,Indiana
bassmi01w,F,75.0,184,Duke
batteja01w,F,73.0,163,Notre Dame
battlas01w,F,72.0,170,Connecticut
bauerca01w,F-C,76.0,180,Montana State
beardal01w,G-F,71.0,160,Duke
becenry01w,G,66.0,140,Arizona State
beckki01w,G,68.0,125,George Washington
bellje01w,F,73.0,160,Florida International
bennije01w,F,75.0,185,Vanderbilt
berggas01w,G,70.0,170,Illinois
berrysh01w,F-C,75.0,175,Iowa
berthlu01w,F-C,74.0,188,Old Dominion
berubca01w,F,72.0,155,Connecticut
birdsu01w,G,69.0,150,Connecticut
bjorkan01w,F,72.0,166,Tennessee
bjorkte01w,C,76.0,175,Colorado
blackch01w,C,77.0,188,Duke
blackde01w,G,63.0,124,St. Joseph's
bladerh01w,G,67.0,138,Vanderbilt
blodgci01w,G,69.0,130,Maine
blueni01w,G,68.0,163,UCLA
blueoc01w,F,73.0,163,Miami (FL)
bobbish01w,G,62.0,130,Tennessee
boddiwh01w,G,69.0,149,Auburn
boldeba01w,G,74.0,180,Louisiana Tech
boltoru01w,G,69.0,150,Auburn
bondla01w,G,67.0,132,Missouri
bonnede01w,G,76.0,136,Auburn
bookeka01w,C,73.0,170,Vanderbilt
bosweca01w,F-G,72.0,168,Illinois State
bouceje01w,G,68.0,130,Virginia
bowenli01w,G,67.0,145,Michigan State
bradlki01w,F-C,77.0,185,Oral Roberts
branzal01w,F,76.0,180,Florida International
branzge01w,F,76.0,175,Florida International
braxtja01w,F-C,75.0,178,Louisiana Tech
braxtka01w,F-C,78.0,210,Georgia
brazian01w,F,74.0,169,Texas Tech
brcanra01w,C,80.0,198,none
brelaje01w,F,75.0,170,North Carolina
bristre01w,G,70.0,139,Arizona
brondsa01w,G,67.0,136,U. Western Sydney
brownci01w,F-C,74.0,183,Long Beach State
brownco01w,G,69.0,150,North Carolina
browned01w,G-F,69.0,163,Texas
brownki01w,G,70.0,134,Georgia
brownla01w,C,75.0,180,Louisiana Tech
brownle01w,F,72.0,166,Virginia
brownru01w,F,74.0,175,Furman
brumfma01w,G,68.0,133,Rice
brungje01w,F,73.0,165,Penn State
brunsre01w,F,75.0,175,Georgetown
bullevi01w,F,75.0,185,Maryland
burgehe01w,C,77.0,195,Virginia
burgehe02w,F,77.0,180,Virginia
burgeli01w,F,73.0,173,Alabama
burraal01w,C,75.0,218,Louisiana Tech
burseja01w,C,77.0,199,Tulane
buttsta01w,G,71.0,160,Tennessee
byearla01w,G-F,71.0,206,DePaul
byrdla01w,G,66.0,131,Eastern Michigan
cabezli01w,F-C,75.0,178,Central Florida CC
cainke01w,C,78.0,220,Tennessee
camba01w,C,80.0,215,none
campbed01w,G,68.0,152,Texas
