playerID,year,stint,tmID,GP,GS,minutes,points,oRebounds,dRebounds,assists,steals,blocks,turnovers,PF,ftAttempted,threeAttempted,dq,PostGP,PostGS,PostPoints,PostoRebounds,PostdRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostftAttempted,PostthreeAttempted,PostDQ
abrossv01w,2,0,MIN,26,23,846,343,43,131,53,42,9,85,70,132,76,2,0,0,0,0,0,0,0,0,0,0,0,0,0
abrossv01w,3,0,MIN,27,27,805,314,45,101,60,42,10,92,73,116,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abrossv01w,4,0,MIN,30,25,792,318,44,97,82,44,11,90,79,98,82,0,3,3,23,1,4,4,4,1,8,8,8,7,0
abrossv01w,5,0,MIN,22,11,462,146,17,57,45,30,2,43,42,46,53,0,2,2,20,3,6,3,1,2,3,7,4,8,0
abrossv01w,6,0,MIN,31,31,777,304,29,78,60,48,6,80,86,73,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abrossv01w,7,0,MIN,34,2,724,263,44,62,54,34,1,61,66,62,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abrossv01w,8,0,MIN,34,29,843,345,53,97,85,44,4,68,86,43,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abrossv01w,9,0,CON,6,0,107,34,3,17,12,8,0,11,13,12,12,0,3,2,24,3,8,4,4,0,3,8,4,5,0
adamsjo01w,4,0,MIN,10,0,96,33,10,13,4,2,3,10,10,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aguilel01w,3,0,UTA,28,0,141,43,0,11,16,3,2,11,5,7,21,0,2,0,0,0,0,2,0,0,0,1,0,0,0
ajavoma01w,9,0,HOU,34,2,604,273,33,27,59,31,6,55,85,91,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ajavoma01w,10,0,WAS,34,4,587,272,27,37,37,37,4,50,84,110,82,1,2,0,19,1,4,3,4,0,2,6,6,8,0
aldrima01w,1,0,WAS,29,0,272,63,8,16,28,9,4,27,30,22,12,0,2,0,14,1,3,7,1,0,1,3,8,3,0
aldrima01w,2,0,WAS,5,0,35,7,2,0,2,0,0,4,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alhalta01w,2,0,ORL,26,1,252,49,15,23,14,11,0,28,20,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allench01w,9,0,SAC,6,0,49,16,2,4,3,1,0,6,5,0,6,0,2,0,0,0,0,0,0,0,1,1,0,0,0
amachma01w,2,0,NYL,2,0,3,1,1,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amachma01w,4,0,SEA,7,0,47,8,4,10,0,5,2,9,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amachma01w,6,0,WAS,3,0,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambermo01w,3,0,SAC,2,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anderam01w,7,1,CON,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anderam01w,7,2,NYL,3,0,9,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anderch01w,4,0,SAC,26,0,171,42,7,17,5,5,5,17,33,12,0,1,5,0,7,0,3,0,0,2,4,7,2,0,0
anderch01w,5,0,SAC,30,0,231,77,14,20,5,3,6,25,46,37,0,0,2,0,2,0,2,1,0,0,1,1,0,0,0
anderch01w,6,0,SAS,34,19,669,203,28,62,11,8,15,55,106,46,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
anderch01w,7,0,SAS,23,20,414,153,28,57,15,7,10,29,73,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anderch01w,8,0,SAS,11,1,86,28,6,14,3,1,5,5,11,12,0,0,2,0,2,1,0,0,0,0,0,3,2,0,0
anderjo01w,9,0,CON,24,7,367,97,11,47,26,7,1,16,17,15,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anderke01w,1,0,WAS,30,9,434,75,12,34,75,25,3,47,53,18,8,0,2,2,2,2,3,5,0,0,4,1,2,0,0
anderke01w,2,0,CHA,18,0,102,12,3,12,14,6,0,17,8,10,2,0,2,0,0,0,0,1,1,0,1,1,0,1,0
anderke01w,3,0,CHA,7,0,31,7,2,4,5,0,0,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andrame01w,1,0,CLE,32,18,797,265,32,63,75,41,10,65,91,80,75,1,6,5,21,5,12,14,6,3,11,17,9,9,0
andrame01w,2,0,CLE,32,32,893,152,21,66,100,51,10,61,77,45,30,0,3,3,13,5,4,1,2,2,7,9,0,2,0
andrame01w,3,0,CLE,32,16,665,91,17,39,67,29,6,41,82,23,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0
andrame01w,5,0,CHA,12,0,65,9,1,3,7,0,1,3,12,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anosini01w,9,0,MIN,34,34,920,314,78,153,45,75,43,42,125,166,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
anosini01w,10,0,MIN,30,29,896,396,73,149,81,81,28,61,88,194,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
arcaija01w,1,0,HOU,32,32,977,268,36,83,60,42,3,53,66,49,45,1,6,6,50,6,21,12,10,0,16,14,7,7,0
arcaija01w,2,0,HOU,32,32,1154,591,49,87,94,60,3,83,82,150,66,1,2,2,29,2,9,5,2,0,5,5,2,8,0
arcaija01w,3,0,HOU,32,32,1116,364,42,84,86,51,6,71,49,111,37,0,3,3,39,2,9,4,5,1,5,11,8,7,0
arcaija01w,4,0,HOU,34,34,1136,390,24,112,67,41,1,50,64,94,37,0,3,3,37,6,8,3,8,0,7,5,13,5,0
arcaija01w,6,0,HOU,34,34,1079,342,20,73,53,55,6,56,85,94,16,0,5,5,44,1,9,6,6,0,2,5,12,1,0
askamma01w,1,0,MIA,32,32,869,251,96,135,29,17,21,49,95,117,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
askamma01w,2,0,MIA,30,11,431,74,35,52,15,12,11,19,62,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
askamma01w,3,2,LAS,20,4,215,61,24,25,4,11,4,11,25,14,1,0,4,3,2,1,2,0,0,0,0,4,2,0,0
askamma01w,3,1,MIA,6,1,72,11,6,5,3,1,1,1,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atkinla01w,7,0,IND,33,1,417,99,25,51,22,18,5,34,31,39,17,0,2,0,6,10,7,3,1,2,2,2,4,0,0
atkinla01w,8,0,SAC,28,0,226,58,13,31,15,10,5,33,15,19,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0
atkinla01w,9,0,SAC,5,1,73,14,3,11,8,5,2,10,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atkinla01w,10,0,SEA,2,1,46,5,6,12,5,10,1,4,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atunrmo01w,9,0,SAS,33,0,348,71,16,32,23,16,13,26,21,16,41,0,8,0,10,0,7,4,1,1,1,4,2,4,0
augusse01w,7,0,MIN,34,34,1124,744,15,113,50,21,18,71,58,165,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augusse01w,8,0,MIN,34,34,1093,769,37,99,79,41,21,83,58,173,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augusse01w,9,0,MIN,31,31,1042,591,28,92,83,32,12,52,46,118,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augusse01w,10,0,MIN,6,6,178,126,4,21,9,12,3,13,5,21,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aycocan01w,1,2,MIN,3,0,6,0,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aycocan01w,1,1,SEA,1,0,7,0,1,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
azizle01w,4,0,IND,7,0,44,10,2,7,1,0,4,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
azzije01w,1,0,UTA,15,15,559,144,5,36,92,12,5,28,43,43,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
azzije01w,2,0,UTA,32,32,1205,276,10,88,171,22,10,69,89,96,74,1,2,2,9,0,3,10,1,1,5,7,1,7,0
azzije01w,3,0,UTA,32,32,1151,306,15,54,158,27,14,67,102,104,92,0,5,5,40,2,11,34,4,5,8,20,8,19,0
azzije01w,4,0,SAS,34,34,1136,260,10,81,111,27,9,61,98,65,97,2,0,0,0,0,0,0,0,0,0,0,0,0,0
badertr01w,1,0,CLE,25,0,201,47,2,9,21,17,1,18,16,6,24,0,5,0,8,0,1,1,2,0,1,1,1,3,0
badertr01w,2,0,CLE,19,0,114,21,2,10,11,5,0,8,7,0,13,0,1,0,0,1,0,0,0,0,0,0,0,2,0
badertr01w,3,0,CLE,18,0,132,14,1,6,15,6,1,7,3,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bakersh01w,7,0,NYL,34,16,614,251,23,33,35,46,2,50,69,56,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bakersh01w,8,2,LAS,24,11,492,203,17,52,77,36,2,65,58,84,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bakersh01w,8,1,NYL,3,0,13,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bakersh01w,9,0,IND,13,0,110,49,7,15,15,9,1,11,15,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bakersh01w,10,0,DET,1,0,11,7,1,0,1,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
balesal01w,8,0,IND,17,0,169,55,12,33,2,4,13,7,14,8,0,0,4,0,0,0,2,1,0,0,1,2,0,0,0
balesal01w,9,2,ATL,17,9,389,82,20,82,11,15,29,10,37,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
