iter	Passed	Remaining
0	3	2344
1	6	2209
2	6	1540
3	8	1452
4	10	1433
5	13	1504
6	15	1513
7	19	1670
8	22	1717
9	24	1670
10	26	1645
11	28	1625
12	30	1603
13	32	1598
14	35	1635
15	38	1649
16	40	1641
17	42	1624
18	44	1609
19	46	1594
20	50	1642
21	55	1705
22	58	1709
23	60	1713
24	63	1712
25	67	1748
26	70	1768
27	73	1764
28	76	1767
29	80	1794
30	83	1810
31	86	1807
32	89	1800
33	92	1803
34	94	1800
35	100	1850
36	103	1859
37	107	1867
38	115	1963
39	119	1969
40	124	1999
41	133	2083
42	139	2124
43	145	2174
44	151	2208
45	156	2229
46	163	2271
47	167	2273
48	170	2258
49	172	2240
50	178	2267
51	181	2262
52	184	2252
53	188	2250
54	191	2250
55	195	2253
56	198	2237
57	201	2227
58	203	2212
59	205	2196
60	209	2191
61	212	2186
62	214	2173
63	218	2173
64	222	2176
65	227	2184
66	229	2171
67	232	2161
68	233	2137
69	237	2134
70	240	2132
71	244	2134
72	247	2121
73	249	2110
74	252	2105
75	256	2103
76	258	2093
77	261	2085
78	264	2076
79	268	2080
80	272	2084
81	275	2077
82	278	2068
83	280	2057
84	283	2052
85	287	2051
86	289	2042
87	292	2036
88	295	2026
89	298	2023
90	301	2019
91	304	2012
92	306	2001
93	309	1994
94	312	1993
95	316	1991
96	319	1983
97	321	1975
98	325	1977
99	329	1976
100	331	1967
101	334	1961
102	337	1954
103	339	1947
104	343	1945
105	345	1937
106	348	1928
107	350	1920
108	352	1911
109	354	1903
110	357	1895
111	359	1886
112	361	1879
113	364	1872
114	366	1866
115	369	1861
116	372	1854
117	374	1845
118	376	1836
119	378	1827
120	380	1818
121	382	1811
122	384	1803
123	386	1796
124	388	1788
125	390	1780
126	394	1778
127	396	1773
128	398	1765
129	400	1758
130	403	1752
131	405	1745
132	407	1738
133	410	1731
134	412	1724
135	414	1717
136	416	1710
137	418	1705
138	420	1697
139	422	1690
140	424	1684
141	428	1683
142	430	1678
143	433	1673
144	437	1674
145	440	1672
146	444	1673
147	447	1670
148	449	1664
149	452	1659
150	454	1654
151	457	1647
152	459	1641
153	461	1634
154	463	1628
155	465	1621
156	467	1615
157	469	1609
158	471	1602
159	473	1596
160	475	1591
161	477	1585
162	479	1579
163	481	1573
164	483	1568
165	485	1562
166	487	1556
167	489	1551
168	492	1546
169	494	1540
170	496	1535
171	498	1529
172	500	1524
173	504	1523
174	506	1519
175	508	1514
176	510	1509
177	512	1503
178	514	1497
179	516	1492
180	518	1487
181	520	1482
182	523	1478
183	525	1473
184	527	1467
185	529	1462
186	531	1458
187	533	1453
188	535	1448
189	537	1443
190	539	1438
191	541	1433
192	543	1428
193	545	1423
194	548	1420
195	550	1415
196	552	1410
197	554	1405
198	556	1400
199	558	1396
200	560	1391
201	562	1386
202	564	1381
203	566	1377
204	568	1372
205	570	1368
206	572	1363
207	574	1359
208	576	1354
209	578	1350
210	580	1345
211	582	1341
212	584	1336
213	586	1332
214	588	1327
215	590	1323
216	592	1319
217	594	1314
218	596	1310
219	598	1306
220	600	1301
221	602	1297
222	604	1293
223	606	1288
224	608	1284
225	610	1280
226	612	1276
227	614	1271
228	616	1268
229	618	1264
230	621	1260
231	623	1256
232	625	1253
233	627	1250
234	630	1247
235	632	1243
236	634	1239
237	637	1236
238	639	1233
239	641	1229
240	643	1226
241	646	1222
242	647	1218
243	650	1215
244	652	1211
245	654	1208
246	656	1204
247	659	1201
248	661	1197
249	663	1194
250	665	1190
251	667	1187
252	670	1183
253	672	1180
254	674	1176
255	676	1172
256	678	1169
257	680	1166
258	683	1163
259	685	1159
260	687	1156
261	689	1152
262	691	1149
263	693	1146
264	696	1142
265	698	1139
266	700	1136
267	702	1133
268	705	1129
269	707	1126
270	709	1123
271	711	1120
272	714	1117
273	716	1113
274	718	1110
275	720	1107
276	723	1104
277	725	1101
278	727	1098
279	730	1095
280	732	1091
281	735	1089
282	738	1087
283	742	1087
284	744	1084
285	747	1082
286	749	1078
287	752	1075
288	754	1072
289	756	1070
290	759	1067
291	761	1064
292	764	1061
293	766	1058
294	768	1055
295	771	1053
296	774	1050
297	776	1047
298	779	1045
299	781	1042
300	784	1039
301	786	1036
302	789	1033
303	791	1031
304	794	1028
305	796	1025
306	798	1022
307	801	1019
308	803	1016
309	805	1013
310	807	1009
311	809	1006
312	811	1003
313	814	1000
314	816	998
315	818	995
316	820	991
317	823	989
318	825	985
319	827	982
