playerID,year,tmID,minutes_pct_error,points_pct_error,oRebounds_pct_error,dRebounds_pct_error,assists_pct_error,steals_pct_error,blocks_pct_error,turnovers_pct_error,PF_pct_error,fgAttempted_pct_error,fgMade_pct_error,ftAttempted_pct_error,ftMade_pct_error,threeMade_pct_error
ajavoma01w,10,WAS,6.3%,13.7%,25.7%,23.7%,52.2%,39.4%,3.5%,0.7%,20.8%,14.1%,4.8%,32.5%,17.6%,64.9%
anosini01w,10,MIN,3.1%,17.8%,3.5%,1.8%,53.0%,41.8%,43.4%,10.7%,22.3%,2.5%,16.7%,22.5%,21.1%,2.7%
atkinla01w,10,SEA,199.8%,591.5%,21.3%,40.7%,161.8%,39.5%,194.9%,185.9%,240.6%,323.3%,532.0%,367.1%,724.6%,592.7%
augusse01w,10,MIN,433.5%,339.8%,609.6%,332.4%,712.7%,172.1%,347.4%,381.1%,884.7%,437.0%,325.8%,469.4%,461.5%,146.1%
bakersh01w,10,DET,1405.1%,604.3%,315.3%,1807.7%,1694.4%,934.2%,67.4%,1660.1%,1917.6%,1475.3%,691.5%,465.2%,424.6%,198.1%
batkosu01w,10,SEA,245.2%,272.4%,268.8%,288.3%,359.6%,261.5%,198.1%,43.7%,192.1%,268.5%,242.2%,609.9%,2050.5%,39.1%
battlas01w,10,NYL,11.1%,5.7%,11.3%,27.2%,15.0%,37.5%,97.1%,35.8%,6.7%,5.1%,6.0%,0.1%,5.7%,5.5%
beardal01w,10,WAS,8.5%,23.1%,20.1%,7.2%,64.4%,28.4%,3.7%,5.6%,0.9%,13.5%,10.9%,31.5%,49.5%,68.0%
beviltu01w,10,IND,10.5%,29.6%,21.9%,31.4%,38.3%,21.7%,77.7%,32.2%,17.8%,21.7%,23.2%,56.3%,55.7%,36.6%
birdsu01w,10,SEA,7.3%,2.4%,71.0%,5.9%,15.6%,11.3%,56.3%,1.3%,20.3%,9.4%,11.6%,78.5%,85.5%,19.6%
blackch01w,10,CON,23.1%,18.9%,42.7%,38.4%,105.4%,55.0%,43.1%,9.1%,14.1%,14.0%,25.9%,28.0%,6.2%,32.6%
blueni01w,10,WAS,275.0%,194.9%,302.6%,290.2%,299.3%,84.2%,218.3%,109.2%,235.9%,237.2%,228.6%,77.0%,101.9%,244.7%
bobbish01w,10,LAS,2.2%,13.4%,27.4%,54.8%,41.8%,20.9%,191.7%,40.3%,11.9%,20.8%,24.4%,4.0%,4.5%,84.0%
boddiwh01w,10,SAC,4759.6%,5902.5%,1957.9%,3860.6%,3469.5%,1993.3%,246.8%,3136.7%,3705.5%,11480.9%,4373.0%,4628.9%,3135.8%,1603.1%
bonnede01w,10,PHO,39.6%,66.0%,65.0%,64.2%,94.0%,24.4%,8.4%,18.9%,43.9%,53.8%,66.4%,65.8%,71.2%,235.3%
braxtka01w,10,DET,37.0%,4.8%,19.8%,15.1%,27.7%,4.4%,24.6%,11.2%,10.6%,14.6%,8.0%,55.6%,76.9%,149.4%
brownki01w,10,CON,0.2%,20.1%,27.9%,37.3%,5.9%,3.1%,59.8%,1.5%,15.5%,29.0%,19.7%,12.9%,16.2%,3.3%
brunsre01w,10,SAC,11.4%,9.2%,3.0%,9.8%,141.4%,25.3%,23.1%,5.1%,29.2%,5.5%,4.7%,22.7%,26.2%,137.0%
