playerID_raw  career_year  playerID  tmID  age  age_sq  pos  college  height  weight  prev_minutes  prev_points  prev_oRebounds  prev_dRebounds  prev_assists  prev_steals  prev_blocks  prev_turnovers  prev_PF  prev_fgAttempted  prev_fgMade  prev_ftAttempted  prev_ftMade  prev_threeMade  roll3_minutes  roll3_points  roll3_oRebounds  roll3_dRebounds  roll3_assists  roll3_steals  roll3_blocks  roll3_turnovers  roll3_PF  roll3_fgAttempted  roll3_fgMade  roll3_ftAttempted  roll3_ftMade  roll3_threeMade
  abrossv01w            0         0     7 45.0  2025.0    3       13    74.0   169.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  aldrima01w            0         1    15 51.0  2601.0    6       77    71.0   153.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  aldrima01w            1         1    15 52.0  2704.0    6       77    71.0   153.0         272.0         63.0             8.0            16.0          28.0          9.0          4.0            27.0     30.0              54.0         25.0              22.0          7.0             6.0          272.0          63.0              8.0             16.0           28.0           9.0           4.0             27.0      30.0               54.0          25.0               22.0           7.0              6.0
  alhalta01w            0         2     9 51.0  2601.0    5       14    72.0   149.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  amachma01w            0         3     8  NaN     NaN    0        0     NaN     NaN           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  anderke01w            0         4    15 50.0  2500.0    6       83    67.0   125.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  anderke01w            1         4     0 51.0  2601.0    6       83    67.0   125.0         434.0         75.0            12.0            34.0          75.0         25.0          3.0            47.0     53.0              68.0         29.0              18.0         14.0             3.0          434.0          75.0             12.0             34.0           75.0          25.0           3.0             47.0      53.0               68.0          29.0               18.0          14.0              3.0
  andrame01w            0         5     1 49.0  2401.0    3       53    71.0   165.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  andrame01w            1         5     1 50.0  2500.0    3       53    71.0   165.0         797.0        265.0            32.0            63.0          75.0         41.0         10.0            65.0     91.0             195.0         89.0              80.0         60.0            27.0          797.0         265.0             32.0             63.0           75.0          41.0          10.0             65.0      91.0              195.0          89.0               80.0          60.0             27.0
  arcaija01w            0         6     3 55.0  3025.0    6       85    71.0   147.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  arcaija01w            1         6     3 56.0  3136.0    6       85    71.0   147.0         977.0        268.0            36.0            83.0          60.0         42.0          3.0            53.0     66.0             233.0        109.0              49.0         41.0             9.0          977.0         268.0             36.0             83.0           60.0          42.0           3.0             53.0      66.0              233.0         109.0               49.0          41.0              9.0
  askamma01w            0         7     6 54.0  2916.0    1       85    77.0   198.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  askamma01w            1         7     6 55.0  3025.0    1       85    77.0   198.0         869.0        251.0            96.0           135.0          29.0         17.0         21.0            49.0     95.0             209.0         85.0             117.0         80.0             1.0          869.0         251.0             96.0            135.0           29.0          17.0          21.0             49.0      95.0              209.0          85.0              117.0          80.0              1.0
  aycocan01w            0         8     7 51.0  2601.0    7       31    74.0   172.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  aycocan01w            1         8    13 51.0  2601.0    7       31    74.0   172.0           6.0          0.0             0.0             3.0           4.0          0.0          0.0             0.0      1.0               0.0          0.0               0.0          0.0             0.0            6.0           0.0              0.0              3.0            4.0           0.0           0.0              0.0       1.0                0.0           0.0                0.0           0.0              0.0
   azzije01w            0         9    14 56.0  3136.0    6       68    68.0   143.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
   azzije01w            1         9    14 57.0  3249.0    6       68    68.0   143.0         559.0        144.0             5.0            36.0          92.0         12.0          5.0            28.0     43.0             104.0         47.0              43.0         40.0            10.0          559.0         144.0              5.0             36.0           92.0          12.0           5.0             28.0      43.0              104.0          47.0               43.0          40.0             10.0
  badertr01w            0        10     1 51.0  2601.0    6        8    64.0   125.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  badertr01w            1        10     1 52.0  2704.0    6        8    64.0   125.0         201.0         47.0             2.0             9.0          21.0         17.0          1.0            18.0     16.0              48.0         17.0               6.0          5.0             8.0          201.0          47.0              2.0              9.0           21.0          17.0           1.0             18.0      16.0               48.0          17.0                6.0           5.0              8.0
  banchrh01w            0        11    12 51.0  2601.0    1       81    75.0   185.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  baranel01w            0        12     6 53.0  2809.0    3        1    77.0   182.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  barksla01w            0        13    11 46.0  2116.0    6       48    70.0   156.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  barnead01w            0        14     1 47.0  2209.0    3        3    71.0   165.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  barnead01w            1        14     1 48.0  2304.0    3        3    71.0   165.0          18.0          8.0             2.0             0.0           4.0          0.0          0.0             2.0      2.0               5.0          3.0               4.0          2.0             0.0           18.0           8.0              2.0              0.0            4.0           0.0           0.0              2.0       2.0                5.0           3.0                4.0           2.0              0.0
  barnequ01w            0        15    13 48.0  2304.0    1       28    77.0   185.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN       NaN                NaN           NaN                NaN           NaN              NaN
  barnequ01w            1        15    13 49.0  2401.0    1       28    77.0   185.0         705.0        209.0            27.0            57.0          33.0         19.0         33.0            62.0    103.0             213.0         89.0              56.0         30.0             1.0          705.0         209.0             27.0             57.0           33.0          19.0          33.0             62.0     103.0              213.0          89.0               56.0          30.0              1.0
