playerID_raw  career_year  playerID  tmID  age  age_sq  pos  college  height  weight  prev_minutes  prev_points  prev_oRebounds  prev_dRebounds  prev_assists  prev_steals  prev_blocks  prev_turnovers  prev_PF  prev_fgAttempted  prev_fgMade  prev_ftAttempted  prev_ftMade  prev_threeMade  roll3_minutes  roll3_points  roll3_oRebounds  roll3_dRebounds  roll3_assists  roll3_steals  roll3_blocks  roll3_turnovers   roll3_PF  roll3_fgAttempted  roll3_fgMade  roll3_ftAttempted  roll3_ftMade  roll3_threeMade
  abrossv01w            0         0     8 42.0  1764.0    3       20    74.0   169.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN        NaN                NaN           NaN                NaN           NaN              NaN
  abrossv01w            1         0     8 43.0  1849.0    3       20    74.0   169.0         846.0        343.0            43.0           131.0          53.0         42.0          9.0            85.0     70.0             293.0        114.0             132.0         96.0            19.0     846.000000    343.000000        43.000000       131.000000      53.000000     42.000000      9.000000        85.000000  70.000000         293.000000    114.000000         132.000000     96.000000        19.000000
  abrossv01w            2         0     8 44.0  1936.0    3       20    74.0   169.0         805.0        314.0            45.0           101.0          60.0         42.0         10.0            92.0     73.0             316.0        119.0             116.0         56.0            20.0     825.500000    328.500000        44.000000       116.000000      56.500000     42.000000      9.500000        88.500000  71.500000         304.500000    116.500000         124.000000     76.000000        19.500000
  abrossv01w            3         0     8 45.0  2025.0    3       20    74.0   169.0         792.0        318.0            44.0            97.0          82.0         44.0         11.0            90.0     79.0             285.0        112.0              98.0         69.0            25.0     814.333333    325.000000        44.000000       109.666667      65.000000     42.666667     10.000000        89.000000  74.000000         298.000000    115.000000         115.333333     73.666667        21.333333
  adamsjo01w            0         1     8 43.0  1849.0    1       61    75.0   180.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN        NaN                NaN           NaN                NaN           NaN              NaN
  aguilel01w            0         2    16 47.0  2209.0    6       32    67.0   165.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN        NaN                NaN           NaN                NaN           NaN              NaN
  aldrima01w            0         3    17 48.0  2304.0    6       93    71.0   153.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN        NaN                NaN           NaN                NaN           NaN              NaN
  aldrima01w            1         3    17 49.0  2401.0    6       93    71.0   153.0         272.0         63.0             8.0            16.0          28.0          9.0          4.0            27.0     30.0              54.0         25.0              22.0          7.0             6.0     272.000000     63.000000         8.000000        16.000000      28.000000      9.000000      4.000000        27.000000  30.000000          54.000000     25.000000          22.000000      7.000000         6.000000
  alhalta01w            0         4    10 48.0  2304.0    5       21    72.0   149.0           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN        NaN                NaN           NaN                NaN           NaN              NaN
  amachma01w            0         5     9  NaN     NaN    0        0     NaN     NaN           NaN          NaN             NaN             NaN           NaN          NaN          NaN             NaN      NaN               NaN          NaN               NaN          NaN             NaN            NaN           NaN              NaN              NaN            NaN           NaN           NaN              NaN        NaN                NaN           NaN                NaN           NaN              NaN
